Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount
1,0.0,Mobile Phone,3.0,26.0,Debit Card,Female,3.0,5.0,Laptop & Accessory,3.0,Divorced,4.0,1.0,11.0,1.0,2.0,2.0,145.59
1,14.0,Computer,1.0,14.0,Debit Card,Male,2.0,5.0,Fashion,2.0,Single,3.0,0.0,15.0,0.0,1.0,3.0,206.5
1,0.0,Mobile Phone,1.0,15.0,Credit Card,Female,2.0,3.0,Mobile Phone,5.0,Single,8.0,0.0,22.0,1.0,1.0,4.0,142.0
0,8.0,Mobile Phone,3.0,6.0,E wallet,Male,3.0,3.0,Fashion,4.0,Divorced,2.0,0.0,13.0,1.0,1.0,6.0,172.95
0,5.470605149361957,Mobile Phone,3.0,12.0,E wallet,Male,2.0,3.0,Laptop & Accessory,3.0,Divorced,3.0,1.0,20.0,0.0,4.0,5.0,123.06
0,18.0,Mobile Phone,1.0,15.965435670576381,Debit Card,Male,2.0,3.0,Laptop & Accessory,4.0,Married,9.0,0.0,18.0,1.0,1.0,15.0,123.47999999999999
0,5.0,Computer,3.0,14.0,E wallet,Female,2.0,3.0,Fashion,2.0,Single,2.0,0.0,14.0,2.0,3.0,7.0,189.98
0,2.0,Computer,1.0,6.0,COD,Male,2.0,3.0,Laptop & Accessory,3.0,Divorced,2.0,0.0,13.0,0.0,1.0,9.0,143.19
0,0.0,Mobile Phone,1.0,13.0,Credit Card,Male,2.0,4.0,Laptop & Accessory,3.0,Divorced,3.0,0.0,17.0,1.0,1.0,0.0,161.32
0,30.0,Mobile Phone,1.0,15.0,Credit Card,Female,3.0,4.0,Mobile Phone,4.0,Divorced,5.0,1.0,20.0,1.0,1.0,0.0,133.46
0,13.0,Mobile Phone,3.0,10.0,E wallet,Male,3.0,4.0,Fashion,2.0,Divorced,8.0,0.0,11.0,2.0,2.0,11.0,208.55
0,6.539593935565517,Computer,3.0,8.0,E wallet,Female,3.0,3.0,Mobile Phone,3.0,Divorced,7.0,0.0,18.0,1.0,1.0,2.0,122.31
0,0.0,Mobile Phone,1.0,16.17959950930964,Credit Card,Male,3.0,3.0,Mobile Phone,2.0,Divorced,2.0,0.0,24.0,0.0,2.0,2.0,123.22999999999999
0,8.30914664960908,Computer,1.0,15.0,Credit Card,Male,2.0,3.0,Mobile Phone,4.0,Married,7.0,0.0,18.0,0.0,2.0,2.0,120.24000000000001
0,1.0,Mobile Phone,1.0,27.0,Credit Card,Male,2.5850276895308237,3.0,Mobile Phone,2.0,Divorced,2.0,0.0,11.0,0.0,1.0,2.0,127.13
0,30.0,Mobile Phone,1.0,30.0,Debit Card,Male,2.0,2.0,Fashion,2.0,Married,4.0,1.0,16.0,1.0,1.0,4.0,194.39
0,0.0,Computer,1.0,15.71023695051921,Credit Card,Male,3.0,4.0,Mobile Phone,3.0,Married,2.0,1.0,15.0,0.0,1.0,1.0,125.66
0,23.0,Mobile Phone,1.0,17.0,Debit Card,Female,2.0,3.0,Others,4.0,Single,4.0,0.0,15.402946534956069,2.0,4.0,4.0,299.26
0,14.0,Mobile Phone,1.0,15.528632861091767,Debit Card,Male,2.0,3.0,Mobile Phone,3.0,Married,5.0,0.0,12.0,1.0,1.0,8.0,124.50999999999999
0,3.0,Mobile Phone,3.0,11.0,Debit Card,Female,2.0,3.0,Fashion,2.0,Divorced,3.0,0.0,12.0,2.0,7.0,4.0,194.19
0,11.0,Mobile Phone,3.0,6.0,Debit Card,Female,2.0,4.0,Laptop & Accessory,2.0,Single,5.0,0.0,22.0,1.0,1.0,1.0,186.86
0,5.0,Mobile Phone,1.0,12.0,Debit Card,Male,2.7450029086009304,3.0,Mobile Phone,3.0,Single,4.0,0.0,20.0,0.0,1.0,4.0,130.38
0,0.0,Mobile Phone,1.0,23.0,COD,Male,2.714161761687256,3.0,Mobile Phone,4.0,Divorced,1.0,1.0,16.0,1.0,1.0,1.0,130.58
1,0.0,Computer,3.0,16.020363517714756,COD,Female,3.0,5.0,Mobile Phone,5.0,Single,1.0,0.0,21.0,1.0,1.0,0.0,123.25
0,8.093678480844016,Computer,1.0,9.0,Credit Card,Male,1.0,3.0,Mobile Phone,4.0,Single,5.0,0.0,12.0,4.0,7.0,2.0,120.88
0,3.0,Computer,1.0,15.0,Credit Card,Male,2.5508401080043357,3.0,Laptop & Accessory,5.0,Married,2.0,0.0,11.0,0.0,6.0,10.0,130.72
0,18.0,Mobile Phone,3.0,10.0,Debit Card,Female,1.0,3.0,Laptop & Accessory,5.0,Married,5.0,1.0,11.0,0.0,1.0,3.0,150.06
0,29.0,Mobile Phone,1.0,14.0,Debit Card,Female,3.0,3.0,Mobile Phone,5.0,Married,5.0,1.0,18.0,1.0,2.0,2.0,142.57
0,6.0,Mobile Phone,1.0,15.574880539235675,Debit Card,Male,2.0,3.0,Mobile Phone,2.0,Single,1.0,0.0,14.0,0.0,1.0,2.0,125.0
1,0.0,Mobile Phone,1.0,8.0,Debit Card,Male,2.0,4.0,Mobile Phone,2.0,Single,2.0,0.0,22.0,0.0,1.0,0.0,111.02000000000001
0,19.0,Mobile Phone,3.0,6.0,E wallet,Female,3.0,3.0,Fashion,5.0,Married,2.0,0.0,25.0,4.0,15.0,7.0,204.53
0,4.93336856123459,Mobile Phone,1.0,15.0,Debit Card,Female,3.0,3.0,Mobile Phone,2.0,Single,2.0,0.0,12.0,1.0,2.0,1.0,122.88
0,4.0,Mobile Phone,1.0,18.0,Credit Card,Female,3.0,3.0,Mobile Phone,2.0,Divorced,9.0,1.0,23.0,1.0,1.0,2.0,139.29
0,5.175960338633727,Mobile Phone,1.0,33.0,Credit Card,Female,3.0,3.0,Mobile Phone,4.0,Single,3.0,0.0,15.0,1.0,1.0,2.0,123.11000000000001
1,4.0,Mobile Phone,3.0,26.0,E wallet,Female,2.749707408324104,3.0,Mobile Phone,4.0,Single,2.0,1.0,22.0,0.0,1.0,2.0,131.4
0,23.0,Mobile Phone,1.0,6.0,Credit Card,Male,2.0,4.0,Mobile Phone,3.0,Divorced,3.0,0.0,15.0,0.0,1.0,2.0,136.9
0,26.0,Mobile Phone,1.0,19.0,Credit Card,Female,2.0,2.0,Laptop & Accessory,5.0,Married,2.0,0.0,11.0,1.0,1.0,3.0,144.5
0,6.0,Mobile Phone,1.0,20.0,Credit Card,Female,2.625924133082525,3.0,Mobile Phone,4.0,Divorced,2.0,0.0,13.0,0.0,1.0,6.0,127.56
0,13.0,Mobile Phone,1.0,10.0,Credit Card,Female,2.0,3.0,Others,3.0,Divorced,2.0,0.0,14.0,4.411054847818386,9.0,9.0,290.33
0,28.0,Mobile Phone,1.0,20.0,Credit Card,Male,3.0,2.0,Others,4.0,Single,9.0,0.0,11.0,0.9718700640897526,2.0,15.0,287.22
0,7.0,Computer,1.0,8.0,Debit Card,Male,2.0,4.0,Laptop & Accessory,3.0,Divorced,2.0,0.0,17.0,0.0,1.0,9.0,195.47
0,24.0,Mobile Phone,1.0,9.0,Credit Card,Female,3.0,3.0,Grocery,4.0,Single,4.0,0.0,18.0,0.0,0.736993718688939,0.0,237.33999999999997
0,25.0,Mobile Phone,1.0,6.0,Debit Card,Male,3.0,4.0,Others,3.0,Divorced,1.0,0.0,15.646842344356031,1.0,11.0,9.0,299.99
0,5.459950939473986,Mobile Phone,1.0,15.0,Credit Card,Female,2.0,3.0,Mobile Phone,4.0,Single,2.0,0.0,16.0,1.0,1.0,3.0,122.78999999999999
1,0.0,Mobile Phone,1.0,29.0,Debit Card,Male,2.0,4.0,Laptop & Accessory,3.0,Divorced,4.0,1.0,13.0,1.0,1.0,1.0,159.16
0,8.058472958148574,Computer,1.0,13.0,Credit Card,Male,2.0,2.0,Mobile Phone,2.0,Married,5.0,0.0,14.0,0.0,2.0,2.0,120.88999999999999
0,18.0,Computer,1.0,8.0,Credit Card,Male,3.0,4.0,Grocery,2.0,Divorced,10.0,0.0,23.0,5.945552364488959,11.0,8.0,267.92
0,10.0,Mobile Phone,1.0,27.0,Debit Card,Male,3.0,2.0,Mobile Phone,5.0,Divorced,2.0,1.0,12.0,0.0,1.0,7.0,135.64
0,8.0,Computer,1.0,8.0,Credit Card,Female,2.0,3.0,Laptop & Accessory,4.0,Single,6.0,0.0,11.0,1.0,1.0,2.0,144.25
0,15.0,Computer,1.0,27.0,Credit Card,Female,2.0,3.0,Laptop & Accessory,3.0,Married,3.0,0.0,16.0,0.0,1.0,2.0,152.65
0,11.0,Mobile Phone,1.0,8.0,Debit Card,Male,2.0,3.0,Laptop & Accessory,3.0,Divorced,10.0,0.0,14.0,0.0,1.0,0.0,165.53
0,11.0,Mobile Phone,1.0,35.0,COD,Male,2.0,3.0,Laptop & Accessory,2.0,Divorced,4.0,0.0,18.0,0.0,1.0,7.0,162.61
0,0.0,Computer,1.0,6.0,COD,Male,2.0,4.0,Laptop & Accessory,5.0,Divorced,6.0,0.0,19.0,0.0,2.0,0.0,142.98
0,22.0,Computer,1.0,24.0,Debit Card,Male,3.0,3.0,Laptop & Accessory,2.0,Married,2.0,1.0,15.0,0.0,1.0,7.0,168.04
0,7.0,Computer,1.0,16.0,Credit Card,Male,2.0,3.0,Mobile Phone,3.0,Married,2.0,1.0,17.0,2.0,2.0,0.0,138.15
0,13.0,Mobile Phone,1.0,25.0,Credit Card,Male,2.9037098136886765,3.0,Laptop & Accessory,2.0,Divorced,9.0,1.0,15.0,1.0,3.0,7.0,127.41
1,1.0,Mobile Phone,1.0,35.0,Credit Card,Male,3.0,3.0,Laptop & Accessory,5.0,Divorced,8.0,1.0,19.0,0.0,1.0,0.0,166.73
1,0.0,Mobile Phone,3.0,33.0,E wallet,Female,2.0,3.0,Fashion,2.0,Divorced,2.0,0.0,22.0,1.0,1.0,9.0,176.39
0,0.0,Mobile Phone,1.0,15.75542238741481,Debit Card,Male,2.0,2.0,Mobile Phone,4.0,Married,2.0,1.0,16.0,0.0,2.0,2.0,123.28
0,5.379248079629035,Computer,1.0,24.0,Credit Card,Female,3.0,3.0,Mobile Phone,2.0,Single,2.0,0.0,13.0,1.0,1.0,7.0,121.53
0,13.0,Computer,1.0,15.0,Debit Card,Male,3.0,4.0,Laptop & Accessory,2.0,Divorced,10.0,0.0,14.0,1.0,1.0,2.0,148.76
0,19.0,Mobile Phone,1.0,6.0,Credit Card,Male,3.0,3.0,Fashion,5.0,Married,8.0,0.0,16.0,0.0,1.0,3.0,193.96
1,0.0,Mobile Phone,3.0,10.0,Credit Card,Male,2.0,5.0,Fashion,2.0,Divorced,2.0,0.0,11.0,7.0,9.0,8.0,204.0
0,3.0,Computer,1.0,6.0,Debit Card,Male,2.0,4.0,Fashion,3.0,Single,2.0,0.0,22.0,2.0,5.0,8.0,184.74
0,0.0,Computer,3.0,26.0,Debit Card,Female,2.0,3.0,Laptop & Accessory,3.0,Single,2.0,0.0,14.0,1.0,1.0,7.0,199.81
0,24.0,Mobile Phone,1.0,14.0,Debit Card,Male,2.0,4.0,Fashion,4.0,Divorced,6.0,0.0,16.0,1.0,4.0,5.766351360789196,224.89999999999998
1,0.0,Mobile Phone,1.0,15.518506951807785,COD,Female,2.0,3.0,Mobile Phone,5.0,Single,6.0,1.0,11.0,1.0,1.0,4.0,126.57
0,14.0,Mobile Phone,3.0,12.0,Debit Card,Female,3.0,3.0,Fashion,2.0,Single,4.0,1.0,18.0,0.0,0.6955953937278025,0.0,235.91000000000003
1,0.0,Computer,3.0,32.0,E wallet,Female,2.0,4.0,Laptop & Accessory,5.0,Single,6.0,0.0,15.0,0.0,1.0,1.0,166.96
1,5.142235930590216,Mobile Phone,1.0,6.0,COD,Male,2.0,3.0,Mobile Phone,3.0,Single,1.0,0.0,14.0,0.0,1.0,5.0,120.58000000000001
0,18.0,Computer,3.0,12.0,Credit Card,Female,2.0,4.0,Fashion,2.0,Single,7.0,0.0,12.0,12.0,12.0,8.0,188.65
0,27.0,Mobile Phone,3.0,9.0,E wallet,Female,2.0,3.0,Laptop & Accessory,5.0,Divorced,3.0,0.0,14.0,1.0,1.0,5.0,159.4
0,9.0,Mobile Phone,1.0,11.0,Debit Card,Male,3.0,3.0,Laptop & Accessory,4.0,Single,9.0,0.0,16.0,0.0,3.0,7.0,159.14
0,6.0,Mobile Phone,1.0,15.874162209549386,Credit Card,Female,2.0,4.0,Mobile Phone,4.0,Divorced,7.0,0.0,21.0,0.0,1.0,1.0,126.22
0,10.0,Computer,1.0,17.0,UPI,Male,2.0,3.0,Fashion,2.0,Married,2.0,1.0,14.0,0.0,1.0,4.211356884893338,221.85000000000002
0,11.0,Mobile Phone,3.0,9.0,Debit Card,Male,3.0,3.0,Fashion,3.0,Married,1.0,0.0,12.0,1.0,5.0,13.0,206.08999999999997
0,4.0,Computer,1.0,6.0,Credit Card,Male,2.0,5.0,Laptop & Accessory,3.0,Divorced,1.0,0.0,12.0,1.0,1.0,4.0,143.45
0,5.411587534845738,Mobile Phone,1.0,9.0,Debit Card,Male,3.0,4.0,Mobile Phone,2.0,Divorced,4.0,0.0,17.0,0.0,1.0,0.0,121.77000000000001
0,10.0,Computer,3.0,10.0,E wallet,Male,2.0,3.0,Mobile Phone,2.0,Married,5.0,0.0,17.0,1.0,5.0,8.0,0.0
0,2.0,Computer,3.0,6.0,Credit Card,Female,2.0,3.0,Fashion,2.0,Divorced,2.0,0.0,14.0,4.0,4.0,1.0,179.18
0,8.0,Computer,3.0,6.0,E wallet,Female,3.0,3.0,Fashion,3.0,Single,2.0,0.0,14.0,1.0,1.0,8.0,187.89
1,0.0,Mobile Phone,1.0,15.573203758706196,Credit Card,Male,2.0,4.0,Mobile Phone,2.0,Single,2.0,1.0,13.0,0.0,1.0,1.0,123.88999999999999
0,25.0,Mobile Phone,1.0,8.0,Debit Card,Female,2.0,4.0,Mobile Phone,2.0,Single,8.0,0.0,15.0,0.0,2.0,2.0,132.12
0,15.0,Mobile Phone,1.0,10.0,COD,Male,2.0,3.0,Others,2.0,Divorced,2.0,0.0,15.147915093579336,0.0,11.0,15.0,292.32
0,9.121198121605685,Mobile Phone,2.0,12.0,Credit Card,Male,2.0,3.0,Mobile Phone,3.0,Divorced,9.0,0.0,17.0,2.0,2.0,2.0,122.66999999999999
0,23.0,Mobile Phone,3.0,6.0,Credit Card,Female,3.0,3.0,Others,2.0,Married,4.0,0.0,15.51270246564623,1.0,1.0,6.0,295.17
1,0.0,Mobile Phone,1.0,15.61065500721876,Credit Card,Male,2.0,3.0,Mobile Phone,2.0,Divorced,6.0,1.0,13.0,0.0,1.0,4.0,124.36000000000001
0,16.0,Mobile Phone,3.0,22.0,E wallet,Female,3.0,3.0,Grocery,2.0,Divorced,6.0,1.0,22.0,0.0,2.5301389874987774,9.0,260.64
1,0.0,Mobile Phone,1.0,8.0,Debit Card,Female,3.0252773728146396,3.0,Mobile Phone,5.0,Divorced,8.0,0.0,20.0,1.0,1.0,7.0,127.07
0,25.0,Computer,3.0,8.0,Debit Card,Male,3.0,4.0,Others,3.0,Single,2.0,1.0,18.0,7.745221771763287,15.0,12.0,290.68
0,5.0,Mobile Phone,3.0,10.0,Debit Card,Female,2.0,3.0,Mobile Phone,4.0,Divorced,3.0,0.0,11.0,1.0,1.0,2.0,139.31
1,0.0,Mobile Phone,1.0,6.0,Debit Card,Male,3.0,4.0,Mobile Phone,3.0,Single,1.0,1.0,14.0,1.0,1.0,2.0,137.3
0,8.384037947818108,Mobile Phone,1.0,6.0,Credit Card,Female,3.0,3.0,Mobile Phone,3.0,Married,8.0,0.0,14.0,0.0,1.0,2.0,122.32
0,5.0,Computer,3.0,32.0,E wallet,Male,3.0,3.0,Laptop & Accessory,2.0,Divorced,1.0,0.0,18.0,1.0,2.0,2.0,144.65
0,14.0,Mobile Phone,1.0,25.0,Debit Card,Male,2.6883465955805272,3.0,Laptop & Accessory,5.0,Married,3.0,0.0,16.0,1.0,1.0,0.0,130.72
0,13.0,Mobile Phone,1.0,30.0,COD,Male,3.0,3.0,Laptop & Accessory,2.0,Married,2.0,0.0,17.0,2.0,4.0,7.0,133.19
0,18.0,Mobile Phone,1.0,6.0,UPI,Male,3.0,2.0,Others,2.0,Divorced,1.0,0.0,15.566422158145112,1.0,1.0,7.0,292.02
0,4.0,Computer,1.0,9.0,Credit Card,Male,3.0,3.0,Fashion,3.0,Married,10.0,0.0,12.0,1.0,1.8462033539626734,2.0,236.75
0,6.0,Mobile Phone,1.0,11.0,Debit Card,Female,2.7025820515133283,4.0,Mobile Phone,2.0,Divorced,2.0,0.0,13.0,0.0,1.0,2.0,129.11
0,7.0,Mobile Phone,1.0,8.0,Debit Card,Male,2.0,4.0,Laptop & Accessory,5.0,Divorced,7.0,0.0,13.0,0.0,5.0,9.0,159.57
0,10.0,Mobile Phone,1.0,6.0,Credit Card,Female,2.0,4.0,Mobile Phone,5.0,Divorced,3.0,0.0,14.0,1.0,1.0,2.0,139.2
0,18.0,Computer,1.0,13.0,Debit Card,Male,3.0,2.0,Laptop & Accessory,3.0,Divorced,5.0,0.0,17.0,0.0,1.0,2.0,164.34
1,0.0,Computer,1.0,16.0,Credit Card,Male,3.0,3.0,Fashion,3.0,Married,7.0,0.0,11.0,1.0,1.0,0.0,200.48
0,12.0,Computer,1.0,8.0,COD,Female,3.0,3.0,Fashion,3.0,Single,1.0,0.0,25.0,10.0,11.0,9.639053144607406,209.38
0,2.0,Mobile Phone,1.0,15.947518179291997,Debit Card,Male,2.0,3.0,Mobile Phone,2.0,Single,2.0,0.0,19.0,0.0,1.0,5.0,123.4
0,15.0,Mobile Phone,1.0,23.0,Debit Card,Female,2.0,2.0,Laptop & Accessory,5.0,Single,4.0,1.0,13.0,0.0,1.0,2.0,165.45
0,2.0,Mobile Phone,3.0,26.0,E wallet,Male,2.0,3.0,Laptop & Accessory,2.0,Married,3.0,0.0,14.0,1.0,1.0,2.0,169.31
0,0.0,Mobile Phone,1.0,6.0,Debit Card,Female,3.0,3.0,Laptop & Accessory,3.0,Divorced,1.0,0.0,12.0,1.0,1.0,2.0,148.98
0,15.0,Mobile Phone,1.0,15.58603219582724,Credit Card,Female,2.0,4.0,Mobile Phone,5.0,Married,1.0,1.0,11.0,4.0,7.0,8.0,125.93
0,13.0,Mobile Phone,1.0,8.0,Credit Card,Male,2.0,3.0,Others,3.0,Married,1.0,0.0,15.19047538311685,0.0,3.0,9.0,294.36
0,24.0,Mobile Phone,1.0,6.0,Debit Card,Male,2.3767773247250137,3.0,Mobile Phone,2.0,Divorced,2.0,0.0,11.0,1.0,1.0,0.0,127.22999999999999
1,0.0,Computer,1.0,35.0,Credit Card,Male,3.0,4.0,Mobile Phone,4.0,Single,1.0,0.0,11.0,1.0,1.0,4.0,134.79
0,5.0,Computer,1.0,13.0,Debit Card,Male,2.488015169127408,2.0,Mobile Phone,4.0,Divorced,2.0,0.0,20.0,0.0,1.0,3.0,127.94
0,11.0,Computer,3.0,8.0,Debit Card,Male,2.0,4.0,Laptop & Accessory,2.0,Divorced,4.0,0.0,18.0,6.0,7.0,5.0,152.49
0,6.498945353069901,Mobile Phone,1.0,8.0,COD,Male,2.0,4.0,Laptop & Accessory,5.0,Single,5.0,0.0,13.0,0.0,1.0,4.0,121.75999999999999
0,19.0,Mobile Phone,3.0,8.0,COD,Female,3.0,5.0,Grocery,4.0,Divorced,4.0,1.0,12.0,3.8500255354493276,7.0,7.0,268.72
1,0.0,Mobile Phone,1.0,8.0,Debit Card,Male,3.0,3.0,Mobile Phone,3.0,Single,3.0,0.0,11.0,1.0,1.0,0.0,134.85
0,2.0,Mobile Phone,3.0,8.0,Credit Card,Male,3.0,4.0,Laptop & Accessory,4.0,Divorced,3.0,0.0,19.0,0.0,1.0,0.0,166.44
0,4.0,Mobile Phone,1.0,29.0,Credit Card,Male,3.0,4.0,Laptop & Accessory,2.0,Divorced,1.0,0.0,21.0,1.0,7.0,8.0,155.82
0,0.0,Computer,1.0,11.0,Debit Card,Male,2.0,2.0,Laptop & Accessory,5.0,Married,2.0,0.0,12.0,1.0,1.0,5.0,140.0
0,18.0,Mobile Phone,1.0,26.0,Credit Card,Male,3.0,3.0,Grocery,2.0,Divorced,1.0,1.0,14.0,0.0,2.7813008730406783,10.0,234.95999999999998
0,9.0,Mobile Phone,1.0,12.0,Debit Card,Male,2.0,3.0,Mobile Phone,2.0,Divorced,1.0,0.0,11.0,4.0,10.0,11.0,132.1
0,28.0,Mobile Phone,1.0,6.0,Credit Card,Male,2.0,3.0,Others,5.0,Single,1.0,1.0,14.0,1.798700591538224,4.0,13.0,290.45
1,10.0,Computer,1.0,35.0,Debit Card,Male,2.0,3.0,Fashion,4.0,Divorced,2.0,1.0,12.0,5.0,9.0,8.629723825419338,218.49
0,5.233734428858304,Mobile Phone,1.0,15.0,Credit Card,Male,3.0,3.0,Mobile Phone,2.0,Divorced,2.0,0.0,23.0,1.0,1.0,4.0,120.69999999999999
0,10.0,Mobile Phone,3.0,12.0,Credit Card,Male,3.0,3.0,Laptop & Accessory,2.0,Divorced,5.0,0.0,14.0,0.0,1.0,1.0,165.02
0,0.0,Mobile Phone,1.0,9.0,Credit Card,Male,3.0,4.0,Mobile Phone,3.0,Single,2.0,0.0,17.0,1.0,1.0,0.0,132.3
0,10.0,Computer,1.0,6.0,Credit Card,Female,0.0,3.0,Fashion,2.0,Married,3.0,1.0,18.0,0.0,1.4789525261835397,2.0,236.02999999999997
0,2.0,Mobile Phone,1.0,28.0,Debit Card,Female,3.0,2.0,Fashion,4.0,Married,8.0,0.0,18.0,5.0,6.0,6.347247145964115,219.95999999999998
0,11.0,Mobile Phone,3.0,13.0,Credit Card,Female,2.0,2.0,Laptop & Accessory,5.0,Married,2.0,1.0,24.0,0.0,7.0,7.0,156.05
0,0.0,Computer,1.0,6.0,Debit Card,Female,2.0,3.0,Laptop & Accessory,4.0,Married,2.0,0.0,20.0,0.0,1.0,4.0,163.97
0,23.0,Mobile Phone,1.0,10.0,Debit Card,Male,3.0,3.0,Others,4.0,Married,4.0,0.0,14.0,0.625860662923869,1.0,6.0,291.44
0,26.0,Mobile Phone,1.0,9.0,Credit Card,Male,2.0,3.0,Grocery,3.0,Divorced,4.0,1.0,16.0,0.48379210780507886,1.0,3.0,275.84
0,15.0,Mobile Phone,3.0,6.0,Debit Card,Male,2.0,3.0,Laptop & Accessory,3.0,Divorced,2.0,0.0,25.0,4.0,11.0,6.0,149.07
0,2.0,Computer,3.0,8.0,Debit Card,Male,2.0,3.0,Laptop & Accessory,2.0,Single,2.0,0.0,18.0,0.0,1.0,9.0,145.54
0,28.0,Mobile Phone,1.0,26.0,COD,Male,2.0,3.0,Laptop & Accessory,2.0,Divorced,4.0,1.0,19.0,1.0,1.0,8.0,154.15
0,0.0,Computer,1.0,17.0,Credit Card,Male,2.0,3.0,Laptop & Accessory,5.0,Divorced,2.0,1.0,13.0,2.0,3.0,3.0,147.41
0,6.507996122224329,Mobile Phone,1.0,6.0,Debit Card,Female,2.0,3.0,Mobile Phone,2.0,Single,2.0,0.0,12.0,1.0,5.0,7.0,121.15
1,7.0,Computer,1.0,30.0,Debit Card,Male,2.8131426660795453,3.0,Mobile Phone,3.0,Married,4.0,1.0,22.0,0.0,1.0,0.0,131.61
0,11.0,Mobile Phone,1.0,29.0,Debit Card,Male,2.0,3.0,Laptop & Accessory,2.0,Married,10.0,0.0,14.0,0.0,1.0,2.0,157.45
